,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
54,0,1,1,1,60,1,0,0,2,2,2,2,0,2,1,1,1,74.85,3782,0
55,1,1,0,0,18,1,2,1,0,0,0,0,2,2,0,1,2,95.45,1274,1
56,0,0,1,1,63,1,2,1,2,0,0,0,2,2,1,1,1,99.65,5104,0
57,1,1,1,1,66,1,2,1,0,2,2,2,2,2,1,1,2,108.45,5555,0
58,0,0,1,1,34,1,2,2,1,1,1,1,1,1,2,0,1,24.95,6314,0
59,0,0,0,0,72,1,2,1,0,0,2,2,2,2,2,1,1,107.5,5937,0
60,0,0,1,0,47,1,2,1,0,0,2,0,2,2,0,1,2,100.5,3985,0
61,1,0,0,0,60,1,2,1,0,2,0,0,2,0,0,1,0,89.9,4530,0
62,1,0,1,0,72,0,1,0,2,2,2,0,0,0,2,0,0,42.1,2558,0
63,0,0,1,1,18,1,0,0,0,0,2,2,0,0,1,1,1,54.4,6459,0
64,0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,6234,1
65,0,0,0,0,3,1,0,0,0,2,0,2,2,2,0,1,2,75.3,2086,0
66,1,0,1,0,47,1,2,1,0,2,0,0,0,0,1,1,2,78.9,3157,0
67,0,0,0,0,31,1,0,0,0,2,2,2,2,2,2,0,3,79.2,2143,0
68,0,0,1,1,50,1,0,2,1,1,1,1,1,1,2,0,0,20.15,6399,0
69,1,0,0,0,10,1,0,1,2,0,2,0,0,0,0,1,3,79.85,6290,0
70,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,3,49.05,4137,0
71,0,0,1,1,52,1,0,2,1,1,1,1,1,1,1,1,2,20.4,181,0
72,1,1,1,1,64,1,2,1,2,0,2,2,2,2,2,1,0,111.6,5563,0
73,1,0,1,1,62,1,2,2,1,1,1,1,1,1,2,1,0,24.25,785,0
74,0,0,0,1,3,1,0,0,2,0,0,2,0,2,0,1,0,64.5,1295,0
75,0,1,0,0,56,1,2,1,2,2,2,0,2,2,1,0,2,110.5,5009,0
76,0,0,0,0,46,1,0,0,0,0,0,0,0,2,1,0,1,55.65,2339,0
77,0,0,1,1,8,1,0,0,2,2,0,0,0,0,0,0,3,54.65,4071,0
78,1,1,0,0,30,1,0,0,2,2,0,0,2,2,0,1,2,74.75,1742,0
79,0,0,1,1,45,1,2,2,1,1,1,1,1,1,1,1,1,25.9,397,0
80,0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,5966,1
81,0,0,1,1,11,0,1,0,2,0,0,0,2,2,0,0,2,50.55,4676,0
82,0,0,1,0,7,1,0,1,0,0,2,0,0,0,0,1,0,75.15,4199,1
83,0,0,0,0,42,1,0,1,0,2,2,2,2,2,0,1,0,103.8,3682,0
84,0,0,1,0,49,1,0,2,1,1,1,1,1,1,2,1,0,20.15,6491,0
85,1,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,99.3,6364,0
86,0,0,1,0,35,1,0,0,2,0,0,0,2,0,1,1,0,62.15,1852,0
87,0,0,1,1,48,1,0,2,1,1,1,1,1,1,2,0,0,20.65,108,0
88,0,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,19.95,6382,0
89,1,0,1,0,29,0,1,0,0,0,0,0,2,0,0,0,3,33.75,19,0
90,1,0,1,1,30,1,0,1,0,2,2,0,0,0,0,0,0,82.05,2229,0
91,1,1,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,74.7,5723,0
92,1,0,1,1,66,1,2,0,2,0,2,2,2,2,2,1,3,84.0,4717,0
93,0,0,0,0,65,1,2,1,2,2,2,0,2,2,0,1,1,111.05,5575,0
94,1,0,0,0,72,1,2,1,0,2,2,0,2,2,2,1,0,100.9,5751,0
95,0,0,0,0,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,6384,1
96,1,0,1,1,71,1,2,0,2,2,0,2,0,0,1,1,1,66.85,4018,0
97,1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.05,252,1
98,1,0,0,0,52,1,0,2,1,1,1,1,1,1,2,0,0,21.0,203,0
99,0,1,1,0,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,2175,1
100,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.2,1610,0
101,0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,19.45,1483,0
102,1,0,0,0,38,1,2,1,0,0,2,2,2,0,1,0,0,95.0,3122,0
103,0,1,1,0,66,0,1,0,0,2,2,0,2,0,1,0,0,45.55,2630,0
104,1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110.0,5833,1
105,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,3,24.3,1,0
106,0,0,1,1,72,1,2,1,2,2,0,0,2,2,1,1,2,104.15,5672,0
107,0,0,0,0,32,0,1,0,2,0,0,0,0,0,1,0,3,30.15,6385,0
108,1,0,0,0,43,1,2,1,0,0,0,0,2,2,1,0,3,94.35,3358,0
109,1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,1,19.4,658,0
110,1,0,1,0,55,1,2,1,2,2,0,0,2,0,0,1,2,96.75,4391,1
111,0,0,0,0,52,1,0,0,2,0,2,2,0,0,1,0,1,57.95,2642,0
112,0,0,0,0,43,1,0,1,0,2,2,0,2,0,0,1,2,91.65,3380,0
113,0,1,1,0,37,1,2,1,0,0,0,0,0,0,0,1,2,76.5,2475,1
114,0,0,1,1,64,0,1,0,0,2,0,2,2,2,2,1,2,54.6,2967,0
115,1,0,1,1,3,1,0,1,2,2,0,0,2,0,0,0,2,89.85,2128,0
116,0,0,0,0,36,0,1,0,2,0,0,0,0,0,2,0,0,31.05,240,0
117,0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,100.25,124,1
118,0,0,0,0,41,1,0,2,1,1,1,1,1,1,2,0,3,20.65,6160,0
119,1,0,1,1,27,1,2,1,0,2,0,2,0,0,0,1,1,85.2,1769,0
120,0,0,1,1,56,1,2,1,0,0,2,0,2,2,1,1,1,99.8,4581,0
121,0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,20.7,230,0
122,1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,74.4,1931,1
123,0,0,1,1,7,1,0,0,2,0,0,0,0,0,0,0,3,50.7,3039,0
124,0,0,1,1,4,1,0,2,1,1,1,1,1,1,0,0,3,20.85,5043,0
125,1,0,0,0,33,1,0,1,2,0,0,2,2,0,2,1,2,88.95,2632,0
126,0,1,0,0,27,1,2,1,0,0,2,0,0,0,0,1,2,78.05,1755,1
127,1,0,1,0,72,1,2,2,1,1,1,1,1,1,2,1,0,23.55,1228,0
128,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.75,1489,0
129,1,1,0,0,71,0,1,0,2,2,0,0,2,2,1,1,2,56.45,3403,0
130,0,0,0,0,13,1,2,1,0,0,0,0,0,2,0,1,2,85.95,394,0
131,0,0,1,1,25,0,1,0,2,2,2,0,2,2,0,1,1,58.6,912,1
132,1,0,0,0,67,1,0,0,0,0,0,2,0,0,2,0,0,50.55,2837,0
133,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.45,3032,1
134,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.35,6058,1
135,0,0,0,0,43,1,2,2,1,1,1,1,1,1,2,1,1,25.7,348,0
136,0,0,0,0,23,1,0,1,2,0,0,0,0,0,0,1,0,75.0,1304,0
137,0,0,1,1,64,1,0,2,1,1,1,1,1,1,2,0,3,20.2,510,0
138,1,0,0,1,57,1,0,2,1,1,1,1,1,1,2,1,3,19.6,319,0
139,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,5510,1
140,0,1,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,88.05,5173,0
141,0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,71.15,4664,1
142,0,0,1,0,61,1,2,1,0,2,0,0,2,2,2,1,0,101.05,4894,0
143,1,0,0,0,64,1,2,1,2,2,0,0,0,0,1,1,1,84.3,4419,0
144,1,1,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,23.95,1278,0
145,0,0,1,1,65,1,2,1,2,2,0,2,2,0,2,1,1,99.05,5168,0
146,1,0,0,0,3,1,0,2,1,1,1,1,1,1,1,0,3,19.6,4983,0
147,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.65,3821,1
148,1,0,0,1,30,1,0,0,0,2,2,0,2,0,1,0,1,64.5,1528,0
149,1,0,1,1,15,1,0,0,0,2,2,2,0,2,0,1,3,69.5,141,0
150,0,0,1,1,8,1,0,0,0,0,0,2,2,2,0,1,2,68.55,4669,0
151,1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,0,3,95.0,5236,1
152,0,0,1,1,70,1,2,1,2,2,2,0,2,2,1,1,1,108.15,5988,0
153,1,0,1,1,62,1,0,0,2,2,2,2,2,2,2,0,2,86.1,4370,0
154,0,0,1,1,6,1,0,2,1,1,1,1,1,1,0,0,3,19.7,250,0
155,0,0,1,1,14,1,0,1,0,0,0,0,0,2,0,1,0,80.9,290,0
156,0,0,0,0,22,1,2,1,0,0,0,0,2,0,0,1,0,84.15,1378,0
157,1,0,1,1,22,1,0,2,1,1,1,1,1,1,1,0,3,20.15,3583,0
158,1,0,1,1,16,1,0,0,2,0,2,0,2,0,2,0,3,64.25,51,0
159,1,0,0,0,10,1,2,2,1,1,1,1,1,1,2,0,0,25.7,2166,0
160,0,0,0,1,13,1,0,0,2,2,0,0,0,0,0,1,2,56.0,5845,0
161,0,0,1,0,20,1,2,1,2,0,0,0,0,0,0,0,2,82.4,1047,1
162,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,69.7,639,0
163,1,0,0,0,53,1,2,0,0,2,2,2,0,2,2,1,0,73.9,3383,0
164,0,0,1,1,11,1,0,2,1,1,1,1,1,1,1,0,3,20.6,1966,0
165,1,0,1,0,69,1,0,2,1,1,1,1,1,1,2,0,3,19.9,659,0
166,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9,2373,1
167,1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,0,89.05,5071,0
168,1,1,1,0,58,0,1,0,0,2,2,0,0,2,0,1,2,45.3,2300,1
169,0,0,1,1,16,1,0,2,1,1,1,1,1,1,0,0,2,20.4,2790,0
170,1,0,1,0,43,1,0,1,2,0,2,2,0,0,1,1,0,84.25,3064,0
171,0,0,1,0,2,1,2,1,0,0,2,2,2,2,0,1,2,104.4,2066,1
172,1,0,1,0,14,1,0,0,0,2,2,2,2,2,2,0,3,81.95,339,0
173,0,0,1,0,53,1,0,1,0,0,2,0,2,2,1,1,0,94.85,4239,1
174,0,0,0,0,32,1,0,2,1,1,1,1,1,1,1,0,0,20.55,5230,0
175,0,0,1,0,34,1,2,2,1,1,1,1,1,1,0,0,2,24.7,5917,0
176,0,1,0,0,15,1,2,1,0,0,0,0,0,0,0,1,3,74.45,277,1
177,0,1,0,0,7,1,0,1,2,0,0,0,0,0,0,0,0,76.45,4260,1
178,0,0,1,1,15,1,2,1,0,2,2,0,2,2,0,1,0,105.35,1001,0
179,1,0,1,0,61,1,0,2,1,1,1,1,1,1,1,1,1,20.55,459,0
180,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,29.95,2507,1
181,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,45.3,3816,0
182,1,0,0,0,8,1,2,1,0,0,0,0,0,2,0,0,0,84.5,5278,1
183,1,0,1,1,33,1,0,0,2,0,2,0,2,2,1,0,1,74.75,2104,0
184,0,0,0,0,13,1,0,1,0,2,2,0,0,0,0,1,2,79.25,216,1
185,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.8,2044,1
186,1,0,0,0,20,1,0,0,0,2,0,0,0,0,0,1,3,51.8,48,0
187,1,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,2,30.4,6099,0
188,0,0,0,0,13,1,0,2,1,1,1,1,1,1,1,0,2,19.65,2090,0
189,0,0,1,0,40,1,2,0,0,2,0,0,0,0,0,0,1,56.6,2015,0
190,1,0,1,1,43,1,2,0,2,0,0,2,0,2,1,1,1,71.9,2757,0
191,1,0,1,0,6,1,0,1,0,2,2,0,0,2,0,1,2,91.0,4440,1
192,0,0,1,1,69,1,0,2,1,1,1,1,1,1,2,0,0,19.75,678,0
193,0,0,1,1,72,1,2,1,2,2,2,0,2,2,2,0,1,109.7,6076,0
194,1,0,1,1,59,1,0,2,1,1,1,1,1,1,2,0,1,19.3,359,0
195,0,0,1,0,20,1,0,1,2,2,0,2,2,0,0,1,2,96.55,1502,0
196,1,0,1,1,24,1,2,2,1,1,1,1,1,1,2,1,0,24.1,4822,0
197,1,0,0,0,59,1,2,1,0,2,2,2,2,2,0,1,2,111.35,5218,0
198,1,0,1,1,72,1,2,1,0,2,2,2,2,2,2,1,0,112.25,6038,0
199,1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,20.75,1621,0
200,0,0,1,0,27,1,0,1,2,0,0,2,2,2,1,1,1,101.9,2333,0
201,0,0,0,0,14,1,0,1,0,2,0,2,0,0,0,1,1,80.05,218,0
202,1,0,1,1,71,1,2,1,2,0,2,0,2,2,2,0,2,105.55,5730,0
203,1,0,0,1,13,1,0,1,0,0,0,0,2,0,0,1,1,78.3,72,0
204,1,0,0,0,44,1,0,1,0,0,0,0,0,0,0,0,1,68.85,2552,0
205,0,0,0,0,33,1,0,1,0,2,0,2,0,0,1,1,0,79.95,2336,0
206,1,0,1,1,72,0,1,0,2,2,2,2,0,2,2,1,1,55.45,3571,0
207,1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,2,79.9,5974,1
208,0,0,0,0,19,1,0,1,2,0,2,2,2,2,0,1,2,106.6,1536,1
209,1,0,1,0,64,1,0,1,0,2,2,2,2,2,1,1,1,102.45,5291,0
210,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,46.0,6174,1
211,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,25.25,2152,0
212,1,0,0,1,61,1,0,2,1,1,1,1,1,1,2,0,3,19.75,237,0
213,0,0,1,1,29,1,0,2,1,1,1,1,1,1,1,0,2,20.0,4493,0
214,1,1,1,0,23,1,2,1,0,0,0,0,0,2,0,0,2,86.8,1580,0
215,0,0,1,0,57,0,1,0,2,2,2,0,2,2,0,1,0,58.75,2976,0
216,1,0,1,1,72,0,1,0,2,2,2,2,0,0,2,0,1,45.25,2727,0
217,1,0,1,0,66,0,1,0,2,2,2,2,2,0,2,1,0,56.6,3250,0
218,1,0,1,1,65,1,2,0,0,2,2,2,2,2,2,1,0,84.2,4450,0
219,0,0,0,0,8,1,0,1,0,0,0,0,2,0,0,1,0,80.0,5063,0
220,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,70.15,2329,1
221,0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,24.75,1390,0
222,1,0,1,1,1,1,0,2,1,1,1,1,1,1,1,1,2,20.2,1610,0
223,1,0,1,0,4,1,0,0,0,0,0,2,0,0,0,0,3,50.05,1326,1
224,0,0,0,0,12,1,0,2,1,1,1,1,1,1,1,1,0,19.35,1807,0
225,1,0,0,0,24,0,1,0,2,0,0,0,2,2,1,1,3,50.6,525,0
226,0,0,1,1,31,1,0,0,2,0,2,2,2,2,1,1,3,81.15,2198,0
227,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,3,55.2,4560,1
228,1,0,0,0,30,1,2,1,0,0,0,2,0,2,0,1,1,89.9,2365,0
229,0,0,1,1,47,1,2,0,2,2,0,2,2,2,2,1,1,85.3,3495,0
230,1,0,0,0,54,1,2,1,2,2,0,2,2,2,2,1,1,108.0,4756,0
231,1,0,0,0,50,1,0,1,2,2,0,2,0,2,0,1,1,93.5,4015,0
232,1,0,0,0,1,1,0,1,2,0,0,0,0,2,0,1,3,84.6,6175,1
233,0,0,0,0,72,1,0,2,1,1,1,1,1,1,2,0,1,20.25,1016,0
234,0,0,0,0,29,1,2,2,1,1,1,1,1,1,0,0,2,25.15,5529,0
235,1,0,0,0,2,1,2,0,0,2,0,0,0,0,0,1,3,54.4,269,1
236,0,0,0,0,10,0,1,0,0,0,0,2,0,0,2,1,3,29.6,2583,0
237,1,0,1,0,18,1,2,1,0,0,0,0,0,0,0,1,2,73.15,561,0
238,0,1,0,0,11,1,0,1,0,2,0,0,2,2,0,1,2,95.0,231,1
239,1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,3,19.75,2456,0
240,0,0,0,0,72,1,2,0,0,2,2,2,2,2,2,0,0,86.6,5128,0
241,1,0,0,0,72,1,2,1,0,2,2,2,2,2,2,0,0,109.2,5946,0
242,0,0,1,1,41,1,0,0,2,0,0,2,2,2,1,1,1,74.7,2771,0
243,0,1,1,0,65,1,0,1,2,2,2,0,0,2,0,0,2,94.4,4999,0
244,0,1,0,0,13,1,0,0,0,2,2,0,0,0,0,1,2,54.8,5674,0
245,1,1,0,0,4,1,0,1,2,0,0,0,0,0,0,0,2,75.35,2376,0
246,1,0,0,0,41,1,2,0,0,0,2,0,0,2,1,0,3,65.0,2187,0
247,1,1,0,0,15,1,0,1,0,2,0,0,0,0,0,1,2,74.4,146,1
248,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,3,48.55,4051,1
249,1,0,0,0,42,1,2,1,2,2,2,0,0,2,1,1,2,99.0,3653,0
250,0,0,1,0,51,1,0,1,2,2,2,0,2,0,1,1,2,93.5,3921,0
251,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,2,70.4,864,1
252,1,1,1,0,1,0,1,0,0,2,0,0,2,0,0,0,2,40.2,3414,1
253,1,0,0,1,32,1,2,0,0,2,2,2,2,2,1,0,1,83.7,2280,0
254,1,0,0,0,10,1,0,2,1,1,1,1,1,1,0,1,3,19.85,1529,0
255,0,0,1,1,67,0,1,0,0,2,2,2,2,2,2,1,2,59.55,3494,0
256,0,0,1,1,61,1,2,1,2,2,2,2,2,2,2,0,1,115.1,5524,0
257,1,0,0,0,50,1,2,1,2,2,2,2,2,2,1,0,1,114.35,4775,0
258,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,44.6,6021,1
259,0,1,1,0,29,0,1,0,2,0,2,0,0,2,0,1,2,45.0,416,0
260,1,1,0,0,3,0,1,0,0,0,2,0,0,2,0,1,2,41.15,583,1
261,1,1,0,0,13,1,2,1,0,2,2,0,2,2,0,1,2,106.9,660,1
262,1,1,1,0,57,1,2,1,0,2,0,0,0,2,0,1,2,89.85,4178,0
263,0,0,0,0,31,0,1,0,2,2,0,2,0,2,2,1,0,49.85,942,0
264,0,0,1,0,45,1,2,1,2,2,2,2,2,2,1,0,3,113.3,4263,0
265,0,0,1,1,61,1,2,0,2,2,2,2,2,2,2,0,3,88.1,4589,0
266,1,0,0,0,50,1,2,2,1,1,1,1,1,1,2,0,0,24.9,363,0
267,0,1,0,0,19,1,0,1,2,2,0,2,2,2,0,1,3,105.0,1633,0
268,1,0,0,0,59,1,0,2,1,1,1,1,1,1,2,0,3,19.35,196,1
269,0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,1,1,24.25,1241,0
270,0,1,0,0,16,1,0,1,0,0,0,2,2,2,0,1,2,94.45,930,1
271,1,0,1,0,57,1,0,0,2,2,0,2,0,0,2,1,2,59.75,2987,0
272,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,24.8,2044,1
273,1,1,1,0,20,1,2,1,0,2,0,2,2,2,0,0,2,107.05,1790,0
274,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,70.6,5513,1
275,1,0,1,0,5,1,2,1,0,2,0,2,0,0,0,1,2,85.4,3422,1
276,0,0,1,0,52,1,2,1,0,2,2,0,2,2,0,1,2,105.05,4658,1
277,1,1,1,0,21,1,0,0,2,2,0,0,0,2,0,1,0,64.95,615,0
278,1,0,0,0,14,0,1,0,0,0,2,2,2,2,0,1,2,55.0,5873,0
279,0,0,0,0,5,1,0,0,0,2,0,0,0,0,0,0,0,50.55,2089,0
280,0,0,0,0,6,1,0,0,2,2,0,0,0,0,0,0,3,55.15,2803,0
281,0,0,0,0,10,1,0,0,0,2,0,0,0,0,0,0,2,51.2,4212,0
282,0,0,0,1,1,1,2,2,1,1,1,1,1,1,0,0,3,25.4,2155,0
283,0,0,0,0,68,1,2,0,2,0,0,0,0,0,0,0,3,54.45,3176,0
284,1,0,1,1,18,1,0,1,0,0,2,0,2,2,0,0,3,95.15,1306,1
285,0,0,0,0,22,1,2,1,0,0,0,0,0,0,1,1,1,76.0,1316,0
286,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,1,2,44.35,6383,0
287,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,70.0,5501,1
288,1,1,0,0,8,1,0,1,0,2,0,0,0,0,0,1,2,74.5,4955,1
289,1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,1,44.85,3698,1
290,1,1,0,0,24,1,2,1,0,0,0,0,0,0,0,1,2,76.1,1213,1
291,1,0,0,0,35,1,0,0,2,2,2,0,0,0,1,0,3,61.2,1655,0
292,1,0,1,1,23,1,0,1,0,2,2,2,0,0,1,0,3,86.8,1544,0
293,0,1,0,0,6,1,0,1,0,0,0,0,2,2,0,1,2,89.35,4686,0
294,0,0,0,0,12,1,0,2,1,1,1,1,1,1,0,0,3,19.7,1823,0
295,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.25,1611,0
296,0,0,1,1,71,1,0,1,0,0,2,0,0,0,2,0,2,76.05,4517,0
297,1,1,1,0,35,1,2,1,0,0,2,0,2,2,0,1,2,100.8,2977,0
298,1,0,1,1,40,1,2,0,0,0,2,0,2,2,0,1,2,74.55,2613,0
299,0,0,0,1,1,1,0,1,2,0,0,0,0,0,0,1,3,73.6,5668,1
300,1,0,0,0,23,1,0,0,0,0,0,0,2,2,1,1,0,64.9,922,0
301,0,1,0,0,4,1,2,1,0,0,0,0,2,2,0,1,2,95.45,3387,1
302,1,0,0,0,4,1,0,1,0,0,2,2,0,2,0,1,2,90.4,3083,0
303,0,0,1,1,68,0,1,0,0,2,2,2,2,2,2,0,1,60.3,3498,0
304,1,0,0,1,38,1,2,1,0,2,0,0,0,0,0,1,3,81.85,2732,0
305,1,0,1,1,52,1,2,2,1,1,1,1,1,1,2,0,3,24.8,417,0
